序号	品名	规格	物料编码(占位)	规格描述	HS编码(待填)	退税率(待填)	适用国家/地区(待填)	官网图片路径(待填)	是否精选展示(是/否)
374	大垫螺母(滚花+台阶口)	M10*28/φ28		M10*28/φ28					
375	大垫螺母（M4通孔）	M16*60-50		M16*60-50					
376	头弧形十字无孔铅封螺钉（定制款）	M4*6/6mm		M4*6/6mm					
377	套管	Φ16*12		Φ16*12					
378	安徽十字无孔铅封螺钉	M4*43/7mm		M4*43/7mm					
379	安徽十字无孔铅封螺钉（头薄款）	M4*16/7mm		M4*16/7mm					
380	安徽十字无孔铅封螺钉（尾部大倒角）	M4*8/4.5mm		M4*8/4.5mm					
381	定位螺栓	M8*9.5		M8*9.5					
382	定位铆钉	3.5*18.8		3.5*18.8					
383	定位销	M4*8/10mm/7mm		M4*8/10mm/7mm					
384	小倒角十一字无孔圆尾铅封螺钉	M4*8/6mm		M4*8/6mm					
385	小倒角十一字无孔铅封螺钉	M4*8/8mm		M4*8/8mm					
386	小倒角十一字无孔铅封螺钉(头薄款)	M4*14/6mm		M4*14/6mm					
387	小倒角十一字无孔铅封螺钉（头薄款）	M4*28/8mm		M4*28/8mm					
388	小倒角十一字无孔铅封螺钉（尾部大倒角）	M4*28/8mm		M4*28/8mm					
389	小倒角十字无孔圆尾铅封螺钉	M4*8/6mm		M4*8/6mm					
390	小倒角十字无孔铅封螺钉	M4*8/8mm（无热处理）		M4*8/8mm（无热处理）					
391	小倒角十字无孔铅封螺钉 （头薄款）	M4*22/6mm		M4*22/6mm					
392	小倒角十字无孔铅封螺钉(头薄款)	M4*8/8mm		M4*8/8mm					
393	小倒角十字无孔铅封螺钉(特殊尖深)	M4*8/4mm		M4*8/4mm					
394	小倒角十字无孔铅封螺钉(重庆专用)	M4*28/8mm		M4*28/8mm					
395	小倒角十字无孔铅封螺钉(重庆标准)	M4*28/6mm		M4*28/6mm					
396	小倒角十字无孔铅封螺钉（头薄款）	M4*8/5mm		M4*8/5mm					
397	小倒角十字无孔铅封螺钉（头薄款）（负公差）	M4*28/8mm		M4*28/8mm					
398	小倒角十字无孔铅封螺钉（尖深特殊）	M4*28/6mm		M4*28/6mm					
399	小倒角十字无孔铅封螺钉（尾部大倒角）	M4*8/4mm		M4*8/4mm					
400	小倒角十字无孔铅封螺钉（特殊）	M4*28/8mm		M4*28/8mm					
401	小倒角十字无孔铅封螺钉（重庆专用）	M4*8/4mm		M4*8/4mm					
402	小倒角十字无孔铅封螺钉（重庆标准）	M4*8/8mm		M4*8/8mm					
403	小倒角无孔十字铅封螺丝	M4*15/6mm		M4*15/6mm					
404	嵌套	φ6.5*6-φ9.5		φ6.5*6-φ9.5					
405	幅度（气门）螺丝	M8*1.0*17		M8*1.0*17					
406	平头六角螺母	M6*10.7（总长）		M6*10.7（总长）					
407	平头内外牙螺栓	M12*M8*14		M12*M8*14					
408	平头十一米字带垫螺丝	M6*13.5		M6*13.5					
409	平头台阶铆钉	φ3*12.3（总长）		φ3*12.3（总长）					
410	平头扁位开槽螺钉	M4*12		M4*12					
411	平头扁位轴	φ22*70（总长）		φ22*70（总长）					
412	平头扁位铆钉	φ3.4*17 (总长)		φ3.4*17 (总长)					
413	平头束尾自攻螺钉	ST2*6.4		ST2*6.4					
414	平头米字槽半牙螺丝	M4*33/15mm		M4*33/15mm					
415	平头花齿螺丝	M6x24.1		M6x24.1					
416	平头花齿螺丝(带头标)	M5*18.6		M5*18.6					
417	平头花齿螺钉	M6*20.8（总长）		M6*20.8（总长）					
418	平头花齿螺钉（新款）	M6*20.8（总长）		M6*20.8（总长）					
419	平头铆压螺栓	M8*40		M8*40					
420	平头铆螺母	M6*12-φ11.5		M6*12-φ11.5					
421	平头铆钉	φ2.7*24		φ2.7*24					
422	平头销钉	φ9*92(总长)		φ9*92(总长)					
423	底板钉	M6*16		M6*16					
424	开花扁位台阶套管（退刀槽）	M10-1.25*16		M10-1.25*16					
425	异形螺钉	M7*10.7/M4*18.3		M7*10.7/M4*18.3					
426	弹簧柱塞	H10*31*M6/10mm		H10*31*M6/10mm					
427	扁位偏心轴	φ5.9*18.8		φ5.9*18.8					
428	扁位台阶轴	φ10*10.2		φ10*10.2					
429	扁轴	V54K0NL000/4*16.1		V54K0NL000/4*16.1					
430	拉铆螺钉	ST6.4*25		ST6.4*25					
431	接线端子	Φ4.9*21.1		Φ4.9*21.1					
432	接触针	φ2*52（总长）		φ2*52（总长）					
433	插针	Φ2.35*29.5		Φ2.35*29.5					
434	无倒角十一字无孔铅封螺丝	M6*24.5		M6*24.5					
435	椭圆螺钉	M8*43.5/12.5mm		M8*43.5/12.5mm					
436	横孔螺母	φ16*21		φ16*21					
437	横孔螺母（新款）	Φ12*23		Φ12*23					
438	沉头铆钉	φ1.98*10（总长）（束尾1.5）		φ1.98*10（总长）（束尾1.5）					
439	法兰带齿螺母	M7*8		M7*8					
440	注塑镶嵌六角螺母	M6x13		M6x13					
441	滚花台阶螺母	M8		M8					
442	滚花嵌件	φ9.5*11		φ9.5*11					
443	滚花嵌件(倒角口)	M5*10		M5*10					
444	滚花嵌件(八字花)	M4*7/φ6		M4*7/φ6					
445	滚花嵌件(台阶口)	M8*24-φ12		M8*24-φ12					
446	滚花嵌件（倒角口）	M8*15-15		M8*15-15					
447	滚花嵌件（八字纹）	M4*7-φ6		M4*7-φ6					
448	滚花嵌件（八字花台阶）	M4*6-φ6		M4*6-φ6					
449	滚花嵌件（八字花）	M4*7-φ5.8		M4*7-φ5.8					
450	滚花嵌件（内倒角加大）	M4*6-φ5.7		M4*6-φ5.7					
451	滚花嵌件（台阶口）	M6*18-φ10		M6*18-φ10					
452	滚花嵌件（盲孔）	M8*15-φ12		M8*15-φ12					
453	滚花嵌件（直纹台阶）	M4*6-φ5.7		M4*6-φ5.7					
454	滚花嵌件（网纹花）	φ16*15		φ16*15					
455	滚花嵌件（通孔）	M10*45-16		M10*45-16					
456	滚花开槽螺栓	M8*15		M8*15					
457	滚花开槽螺母	M6*10（φ9）		M6*10（φ9）					
458	滚花螺栓	M6*16		M6*16					
459	滚花螺母	M8*φ14*18		M8*φ14*18					
460	盘头十一字带垫螺丝	M5*10		M5*10					
461	盘头十一字螺丝	M6*12（Φ10）		M6*12（Φ10）					
462	盘头十字自攻螺丝	ST6.3*22		ST6.3*22					
463	盘头十字螺丝	M4*8（Φ8）		M4*8（Φ8）					
464	盘帽	M12		M12					
465	直杆针轴	φ5.9*53.2		φ5.9*53.2					
466	直纹螺母	M5*7.5*Φ12		M5*7.5*Φ12					
467	短六角铝件	42.42*28.58-H25.4		42.42*28.58-H25.4					
468	穿刺针带旋钮	M4*40.5		M4*40.5					
469	米十一字台阶四孔铅封螺钉	M4*16/8mm（6.8*7.7）		M4*16/8mm（6.8*7.7）					
470	米十一字圆头单孔铅封螺钉	M4*9/7mm		M4*9/7mm					
471	米十一字圆头四孔铅封螺钉	M4*42/8mm（头φ6.5*7）		M4*42/8mm（头φ6.5*7）					
472	米十一字圆头平尾自攻螺钉	ST4.2*16（Φ8*3）		ST4.2*16（Φ8*3）					
473	米十一字圆柱头凸缘螺钉	M5*12		M5*12					
474	米十一字圆柱头平尾自攻螺钉	ST3.9*13		ST3.9*13					
475	米十一字圆柱头螺钉	M6*17.9（总长）		M6*17.9（总长）					
476	米十一字平头三组合螺钉	M3*8头5.5		M3*8头5.5					
477	米十一字平头二组合束尾螺钉	M3.5*6.5（头5.7）		M3.5*6.5（头5.7）					
478	米十一字平头二组合螺钉	M3.5*8头5.7（正常倒角）		M3.5*8头5.7（正常倒角）					
479	米十一字平头凸缘束尾螺钉	M6*13		M6*13					
480	米十一字平头凸缘止点螺钉	M5*15.4		M5*15.4					
481	米十一字平头单孔铅封螺钉	M4*48/8mm		M4*48/8mm					
482	米十一字平头四孔铅封螺钉	M4*48/10mm		M4*48/10mm					
483	米十一字平头四孔铅封螺钉（定制款）	M4*10/3mm		M4*10/3mm					
484	米十一字平头圆尾螺钉	M6*14		M6*14					
485	米十一字平头平尾自攻螺钉	ST4.1*34/16mm		ST4.1*34/16mm					
486	米十一字平头方垫三组合螺钉	M3*8头5.5		M3*8头5.5					
487	米十一字平头方垫二组合螺钉	M3.5*7头5.7		M3.5*7头5.7					
488	米十一字平头束尾螺钉	M7*14(φ9*3.1)		M7*14(φ9*3.1)					
489	米十一字平头止点圆尾螺钉	M6*14		M6*14					
490	米十一字平头止点螺钉	M5*9		M5*9					
491	米十一字平头端子螺钉	M7*13		M7*13					
492	米十一字平头自攻螺钉	ST3*7		ST3*7					
493	米十一字平头螺钉	M7*17（总长）		M7*17（总长）					
494	米十一字平头螺钉（新款）	M5*10.5		M5*10.5					
495	米十一字平头螺钉（特殊倒角）	M6*16		M6*16					
496	米十一字平头螺钉（镀层＞8μm）	M6*14（7.2*3）		M6*14（7.2*3）					
497	米十一字盘头束尾螺钉	M8*14		M8*14					
498	米十一字盘头花齿束尾螺钉	M5*9.5		M5*9.5					
499	米十一字盘头螺钉	M4*9/9mm（7*2.62）		M4*9/9mm（7*2.62）					
500	米十字盘头凸缘平尾自攻螺钉	ST3*8		ST3*8					
501	米十字盘头平尾自攻螺钉	ST3.5*12		ST3.5*12					
502	米十字盘头螺钉	M4*4.5（φ6.8*2.5）		M4*4.5（φ6.8*2.5）					
503	米字盘头花齿束尾自攻螺钉	ST4.2*10（Φ7.7）		ST4.2*10（Φ7.7）					
504	紧定螺钉（双螺纹）	M10*26.5 (总长)		M10*26.5 (总长)					
505	线轮	φ9.4*11.95		φ9.4*11.95					
506	组合件	φ5.3*29		φ5.3*29					
507	自攻螺钉	ST5*17.1		ST5*17.1					
508	螺纹柱带旋钮	M4*43		M4*43					
509	衬套	φ9*φ8*4		φ9*φ8*4					
510	触头盒中孔补芯件	M24*M16*30		M24*M16*30					
511	贴片螺母	M5*4.6		M5*4.6					
512	轴	φ8*91.1		φ8*91.1					
513	轴套	φ14*3.35		φ14*3.35					
514	输出转架轴	Φ8.1*55		Φ8.1*55					
515	铁芯	φ9.5*2.7		φ9.5*2.7					
516	铆压螺柱	13*7		13*7					
517	铆压螺母	UNC 6/32*Φ7*2.5		UNC 6/32*Φ7*2.5					
518	铆套	φ6.4*9		φ6.4*9					
519	铆钉	φ10*19(总长)		φ10*19(总长)					
520	铆钉套	φ19.8*φ31.6		φ19.8*φ31.6					
521	铜嵌件	M4*6-φ9.9		M4*6-φ9.9					
522	铜螺钉	M4*6		M4*6					
523	铝轴	Φ4*17.5		Φ4*17.5					
524	销扁轴	Φ5*23.5		Φ5*23.5					
525	销轴	Φ5*11		Φ5*11					
526	销轴（尖尾）	Φ1.2*7.5		Φ1.2*7.5					
527	销钉	φ4*10		φ4*10					
528	长方螺钉	SM7/32-32*21/7mm-H6.2		SM7/32-32*21/7mm-H6.2					
529	防盗铅封螺丝	M4*10.5		M4*10.5					
530	静铁芯（漏电）	Φ4*5.2		Φ4*5.2					
531	马车螺栓	M8*70		M8*70					
532	马车螺栓(四方台阶)	3/8-24UNF*30		3/8-24UNF*30					
533	齿轮片毛坯	Φ17*Φ5*6		Φ17*Φ5*6					
